Sample_Number,Date_Collected,Storage_Solution,CollectionSite,Collection_Site_Location_Details,Brood_year,Year_Class,Oyster_Length_,Oyster_Depth,Weight_g,Size_Class,Tissue,,,,,,,
1,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
2,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
3,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
4,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
5,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
6,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
7,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
8,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
9,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
10,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
11,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
12,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
13,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
14,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,#N/A,Mantle,,,,,,,
15,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
16,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
17,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
